lnT	lnV	DlnT	DlnV
7.377758908	-8.111728083	0.0625	0.166666667
7.495541944	-7.824046011	0.055555556	0.125
7.60090246	-7.418580903	0.05	0.083333333
7.649692624	-7.264430223	0.047619048	0.071428571
7.549609165	-7.60090246	0.052631579	0.1
7.649692624	-7.195437351	0.047619048	0.066666667
7.649692624	-7.13089883	0.047619048	0.0625
7.649692624	-7.070274208	0.047619048	0.058823529
7.696212639	-7.013115795	0.045454545	0.055555556
7.740664402	-6.725433722	0.043478261	0.166666667
7.783224016	-6.571283042	0.041666667	0.142857143
