1/L^2	V(V)	DV	Dx
			
0.137174211	2.40E-02	2.00E-03	0.010161053
0.091827365	2.20E-02	2.00E-03	0.005565295
0.077160494	1.60E-02	2.00E-03	0.004286694
0.056689342	1.20E-02	2.00E-03	0.002699492
0.041649313	8.00E-03	2.00E-03	0.001699972
0.023668639	4.00E-03	2.00E-03	0.000728266
0.012913223	2.60E-03	2.00E-04	0.000293482
0.010203041	2.20E-03	2.00E-04	0.000206122
0.009425959	1.80E-03	2.00E-04	0.000183028
0.007561437	1.40E-03	2.00E-04	0.000131503
0.005653231	1.00E-03	2.00E-04	8.5011E-05
0.004565376	8.00E-04	2.00E-04	6.16943E-05
0.004162331	7.00E-04	5.00E-05	5.37075E-05
0.003673095	6.00E-04	5.00E-05	4.45224E-05
0.003341241	5.00E-04	5.00E-05	3.86271E-05
0.002799474	4.00E-04	5.00E-05	2.96241E-05
0.002267574	3.00E-04	5.00E-05	2.15959E-05
0.001765412	2.00E-04	5.00E-05	1.48354E-05
