T(K)	V(V)	DT	DV
311.1	3.00E-04	0.1	5.00E-05
315.8	4.00E-04	0.1	5.00E-05
318.6	4.50E-04	0.1	5.00E-05
320.7	5.00E-04	0.1	5.00E-05
322.7	5.50E-04	0.1	5.00E-05
325.5	6.00E-04	0.1	5.00E-05
328	6.50E-04	0.1	5.00E-05
330.4	7.00E-04	0.1	5.00E-05
334.3	7.50E-04	0.1	5.00E-05
342.3	1.00E-03	0.1	2.00E-05
348.9	1.20E-03	0.1	2.00E-05
355.6	1.40E-03	0.1	2.00E-05
363.6	1.60E-03	0.1	2.00E-05
370.8	1.80E-03	0.1	2.00E-05
376.9	2.00E-03	0.1	2.00E-05
384.9	2.20E-03	0.1	2.00E-05
390.9	2.40E-03	0.1	2.00E-05
397.7	2.60E-03	0.1	2.00E-05
405.5	3.00E-03	0.1	5.00E-04
415.8	3.50E-03	0.1	5.00E-04
428.3	4.00E-03	0.1	5.00E-04
440.7	4.50E-03	0.1	5.00E-04
451.4	5.00E-03	0.1	5.00E-04
462.1	5.50E-03	0.1	5.00E-04
472.5	6.00E-03	0.1	5.00E-04
481.4	6.50E-03	0.1	5.00E-04
490.6	7.00E-03	0.1	5.00E-04
497.7	7.50E-03	0.1	5.00E-04
506.7	8.00E-03	0.1	5.00E-04
529.1	1.00E-02	0.1	2.00E-03
554.6	1.20E-02	0.1	2.00E-03
578.7	1.40E-02	0.1	2.00E-03
598.7	1.60E-02	0.1	2.00E-03
617.6	1.80E-02	0.1	2.00E-03
636	2.00E-02	0.1	2.00E-03
651.9	2.20E-02	0.1	2.00E-03
666.5	2.40E-02	0.1	2.00E-03
