lnT	lnV	lnDT	lnDV
5.740114404	-8.111728083	0.00032144	1.67E-01
5.755109102	-7.824046011	0.000316656	1.25E-01
5.763936397	-7.706262975	0.000313873	1.11E-01
5.770506107	-7.60090246	0.000311818	1.00E-01
5.776723099	-7.50559228	0.000309885	9.09E-02
5.785362462	-7.418580903	0.00030722	8.33E-02
5.793013608	-7.338538195	0.000304878	7.69E-02
5.800304042	-7.264430223	0.000302663	7.14E-02
5.812038793	-7.195437351	0.000299133	6.67E-02
5.835687546	-6.907755279	0.000292141	2.00E-02
5.854785348	-6.725433722	0.000286615	1.67E-02
5.873806504	-6.571283042	0.000281215	1.43E-02
5.896054362	-6.43775165	0.000275028	1.25E-02
5.915662834	-6.319968614	0.000269687	1.11E-02
5.9319799	-6.214608098	0.000265322	1.00E-02
5.95298356	-6.119297919	0.000259808	9.09E-03
5.968451773	-6.032286542	0.00025582	8.33E-03
5.985697952	-5.952243834	0.000251446	7.69E-03
6.005120874	-5.80914299	0.000246609	1.67E-01
6.030204375	-5.65499231	0.0002405	1.43E-01
6.059823885	-5.521460918	0.000233481	1.25E-01
6.088364372	-5.403677882	0.000226912	1.11E-01
6.112353864	-5.298317367	0.000221533	1.00E-01
6.135781318	-5.203007187	0.000216403	9.09E-02
6.158037747	-5.11599581	0.00021164	8.33E-02
6.176698525	-5.035953102	0.000207727	7.69E-02
6.195629132	-4.96184513	0.000203832	7.14E-02
6.209997486	-4.892852258	0.000200924	6.67E-02
6.227919112	-4.828313737	0.000197355	6.25E-02
6.27117745	-4.605170186	0.000189	2.00E-01
6.318247133	-4.422848629	0.00018031	1.67E-01
6.360784209	-4.268697949	0.000172801	1.43E-01
6.394760638	-4.135166557	0.000167029	1.25E-01
6.425840999	-4.017383521	0.000161917	1.11E-01
6.455198563	-3.912023005	0.000157233	1.00E-01
6.479891176	-3.816712826	0.000153398	9.09E-02
6.50204014	-3.729701449	0.000150038	8.33E-02
