L(cm)	V(V)	DV	DL
2.7	2.40E-02	2.00E-03	0.1
3.3	2.20E-02	2.00E-03	0.1
3.6	1.60E-02	2.00E-03	0.1
4.2	1.20E-02	2.00E-03	0.1
4.9	8.00E-03	2.00E-03	0.1
6.5	4.00E-03	2.00E-03	0.1
8.8	2.60E-03	2.00E-04	0.1
9.9	2.20E-03	2.00E-04	0.1
10.3	1.80E-03	2.00E-04	0.1
11.5	1.40E-03	2.00E-04	0.1
13.3	1.00E-03	2.00E-04	0.1
14.8	8.00E-04	2.00E-04	0.1
15.5	7.00E-04	5.00E-05	0.1
16.5	6.00E-04	5.00E-05	0.1
17.3	5.00E-04	5.00E-05	0.1
18.9	4.00E-04	5.00E-05	0.1
21	3.00E-04	5.00E-05	0.1
23.8	2.00E-04	5.00E-05	0.1
